corp_code,fy,rcept_no,rcept_dt,report_nm,is_amend,기업명,군,업종코드,cand_rank
00222532,2025,20260316000756,20260316,사업보고서 (2025.12),0,(주)엘지헬로비전,콘텐츠,60222,0
00223762,2019,20200330004502,20200330,사업보고서 (2019.12),0,(주)케이티지니뮤직,콘텐츠,603,0
00223762,2020,20210316000511,20210316,사업보고서 (2020.12),0,(주)케이티지니뮤직,콘텐츠,603,0
00223762,2021,20220321001520,20220321,사업보고서 (2021.12),0,(주)케이티지니뮤직,콘텐츠,603,0
00223762,2022,20230323000549,20230323,사업보고서 (2022.12),0,(주)케이티지니뮤직,콘텐츠,603,0
00223762,2023,20240320000488,20240320,사업보고서 (2023.12),0,(주)케이티지니뮤직,콘텐츠,603,0
00223762,2024,20250318000473,20250318,사업보고서 (2024.12),0,(주)케이티지니뮤직,콘텐츠,603,0
00223762,2025,20260605000121,20260605,[기재정정]사업보고서 (2025.12),1,(주)케이티지니뮤직,콘텐츠,603,0
00223762,2025,20260318000742,20260318,사업보고서 (2025.12),0,(주)케이티지니뮤직,콘텐츠,603,1
00230036,2019,20200327000745,20200327,사업보고서 (2019.12),0,(주)드래곤플라이,게임,5821,0
00230036,2020,20210315001026,20210315,사업보고서 (2020.12),0,(주)드래곤플라이,게임,5821,0
00230036,2021,20220317000714,20220317,사업보고서 (2021.12),0,(주)드래곤플라이,게임,5821,0
00230036,2022,20230316000971,20230316,사업보고서 (2022.12),0,(주)드래곤플라이,게임,5821,0
00230036,2023,20240314001678,20240314,사업보고서 (2023.12),0,(주)드래곤플라이,게임,5821,0
00230036,2024,20250324000194,20250324,사업보고서 (2024.12),0,(주)드래곤플라이,게임,5821,0
00230036,2025,20260323001648,20260323,사업보고서 (2025.12),0,(주)드래곤플라이,게임,5821,0
00231691,2019,20200330002130,20200330,사업보고서 (2019.12),0,(주)판타지오,콘텐츠,901,0
00231691,2020,20221111000182,20221111,[첨부정정]사업보고서 (2020.12),1,(주)판타지오,콘텐츠,901,0
00231691,2020,20210406000608,20210406,[기재정정]사업보고서 (2020.12),1,(주)판타지오,콘텐츠,901,1
00231691,2020,20210317000429,20210317,사업보고서 (2020.12),0,(주)판타지오,콘텐츠,901,2
00231691,2021,20220923000215,20220923,[첨부정정]사업보고서 (2021.12),1,(주)판타지오,콘텐츠,901,0
00231691,2021,20220318000737,20220318,사업보고서 (2021.12),0,(주)판타지오,콘텐츠,901,1
00231691,2022,20220914000075,20220914,사업보고서 (2022.06),0,(주)판타지오,콘텐츠,901,0
00231691,2023,20230915000455,20230915,사업보고서 (2023.06),0,(주)판타지오,콘텐츠,901,0
00231691,2024,20240919000261,20240919,사업보고서 (2024.06),0,(주)판타지오,콘텐츠,901,0
00231691,2025,20250917000341,20250917,사업보고서 (2025.06),0,(주)판타지오,콘텐츠,901,0
00249441,2019,20200330001575,20200330,사업보고서 (2019.12),0,(주)씨씨에스충북방송,콘텐츠,60222,0
