corp_code,기업명,군,fy,has_report,has_gc,adverse,opinion,auditor,n_kam,sig_t1,why_t1,sig_t2,why_t2,sig_2y,sadv_t1,smiss_t1,sadv_t2,smiss_t2,sigB_t1,sigB_t2,sigB_2y
303794,(주)쇼박스,콘텐츠,2022,1,0,0,적정,2022년 12월 31일 까지 삼일회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303794,(주)쇼박스,콘텐츠,2023,1,0,0,적정,2022년 12월 31일 까지 삼일회계법인,1,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0
303794,(주)쇼박스,콘텐츠,2024,1,0,0,적정,강남파이낸스센터 27층) 삼정회계법인,1,,,,,,,,,,,,
303873,씨제이씨지브이(주),콘텐츠,2019,1,0,0,적정,강남파이낸스센터 27층) 삼정회계법인,4,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303873,씨제이씨지브이(주),콘텐츠,2020,1,0,0,적정,강남파이낸스센터 27층) 삼정회계법인,2,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303873,씨제이씨지브이(주),콘텐츠,2021,1,0,0,적정,강남파이낸스센터 27층) 삼정회계법인,2,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303873,씨제이씨지브이(주),콘텐츠,2022,1,0,0,적정,강남파이낸스센터 27층) 삼정회계법인,2,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303873,씨제이씨지브이(주),콘텐츠,2023,1,0,0,적정,2022년 12월 31일 까지 삼정회계법인,2,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0
303873,씨제이씨지브이(주),콘텐츠,2024,1,0,0,적정,강남파이낸스센터 27층) 삼정회계법인,2,,,,,,,,,,,,
347877,(주)세영디앤씨,콘텐츠,2019,1,0,1,의견거절,2019년 12월 31일 까지 대현회계법인,0,1.0,비적정의견,1.0,비적정의견,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
347877,(주)세영디앤씨,콘텐츠,2020,1,0,1,의견거절,2020년 12월 31일 까지 이촌회계법인,0,1.0,비적정의견,1.0,비적정의견,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
347877,(주)세영디앤씨,콘텐츠,2021,1,0,1,의견거절,2021년 12월 31일 까지 삼화회계법인,0,1.0,비적정의견,0.0,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
347877,(주)세영디앤씨,콘텐츠,2022,1,0,1,의견거절,2022년 12월 31일 까지 대현회계법인,0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347877,(주)세영디앤씨,콘텐츠,2023,1,0,0,적정,료되는 보고기간의 연결재무제표는 대현회계법인,0,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0
347877,(주)세영디앤씨,콘텐츠,2024,1,0,0,적정,2023년 12월 31일 까지 대현회계법인,0,,,,,,,,,,,,
348034,(주)액토즈소프트,게임,2019,1,0,0,적정,2018년 12월 31일 까지 삼일회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348034,(주)액토즈소프트,게임,2020,1,0,0,적정,2019년 12월 31일 까지 삼일회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348034,(주)액토즈소프트,게임,2021,1,0,0,적정,강남파이낸스센터 27층) 삼정회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348034,(주)액토즈소프트,게임,2022,1,0,0,적정,강남파이낸스센터 27층) 삼정회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348034,(주)액토즈소프트,게임,2023,1,0,0,적정,2022년 12월 31일 까지 삼정회계법인,1,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0
348034,(주)액토즈소프트,게임,2024,1,0,0,적정,2023년 12월 31일 까지 한울회계법인,1,,,,,,,,,,,,
348292,(주)한빛소프트,게임,2019,1,0,0,적정,2018년 12월 31일 까지 한미회계법인,0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348292,(주)한빛소프트,게임,2020,1,0,0,적정,2019년 12월 31일 까지 한미회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348292,(주)한빛소프트,게임,2021,1,0,0,적정,2020년 12월 31일 까지 한미회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348292,(주)한빛소프트,게임,2022,1,0,0,적정,2021년 12월 31일 까지 한미회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348292,(주)한빛소프트,게임,2023,1,0,0,적정,2023년 12월 31일 까지 안진회계법인,1,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0
348292,(주)한빛소프트,게임,2024,1,0,0,적정,2023년 12월 31일 까지 안진회계법인,1,,,,,,,,,,,,
349097,(주)케이티스카이라이프,콘텐츠,2019,1,0,0,적정,,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349097,(주)케이티스카이라이프,콘텐츠,2020,1,0,0,적정,,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349097,(주)케이티스카이라이프,콘텐츠,2021,1,0,0,적정,,2,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349097,(주)케이티스카이라이프,콘텐츠,2022,1,0,0,적정,료되는 보고기간의 연결재무제표는 안진회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349097,(주)케이티스카이라이프,콘텐츠,2023,1,0,0,적정,2022년 12월 31일 까지 삼일회계법인,1,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0
349097,(주)케이티스카이라이프,콘텐츠,2024,1,0,0,적정,2023년 12월 31일 까지 삼일회계법인,1,,,,,,,,,,,,
353762,(주)키이스트,콘텐츠,2019,1,0,0,적정,2018년 12월 31일 까지 신우회계법인,0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353762,(주)키이스트,콘텐츠,2020,1,0,0,적정,2019년 12월 31일 까지 신우회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353762,(주)키이스트,콘텐츠,2021,1,0,0,적정,2020년 12월 31일 까지 신우회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353762,(주)키이스트,콘텐츠,2022,1,0,0,적정,2021년 12월 31일 까지 신우회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353762,(주)키이스트,콘텐츠,2023,1,0,0,적정,2022년 12월 31일 까지 신우회계법인,1,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0
353762,(주)키이스트,콘텐츠,2024,1,0,0,적정,2024년 12월 31일 까지 정동회계법인,1,,,,,,,,,,,,
359474,(주)제이웨이,콘텐츠,2019,1,0,0,적정,018년 12월 31일 까지 대성삼경회계법인,0,1.0,"비적정의견, GC 재기재",1.0,"비적정의견, GC 재기재",1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
359474,(주)제이웨이,콘텐츠,2020,1,1,1,의견거절,2020년 12월 31일 까지 삼일회계법인,0,1.0,"비적정의견, GC 재기재",1.0,비적정의견,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
359474,(주)제이웨이,콘텐츠,2021,1,1,1,의견거절,2020년 12월 31일 까지 삼일회계법인,0,1.0,비적정의견,1.0,보고서 제출 중단,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
359474,(주)제이웨이,콘텐츠,2022,1,0,1,의견거절,2022년 12월 31일 까지 한미회계법인,0,1.0,보고서 제출 중단,1.0,보고서 제출 중단,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
364467,(주)드림어스컴퍼니,콘텐츠,2019,1,0,0,적정,강남파이낸스센터 27층) 삼정회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364467,(주)드림어스컴퍼니,콘텐츠,2020,1,0,0,적정,종료된 보고기간의 연결재무제표는 삼정회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364467,(주)드림어스컴퍼니,콘텐츠,2021,1,0,0,적정,2020년 12월 31일 까지 삼덕회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364467,(주)드림어스컴퍼니,콘텐츠,2022,1,0,0,적정,2021년 12월 31일 까지 삼덕회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364467,(주)드림어스컴퍼니,콘텐츠,2023,1,0,0,적정,강남파이낸스센터 27층) 삼정회계법인,1,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0
364467,(주)드림어스컴퍼니,콘텐츠,2024,1,0,0,적정,강남파이낸스센터 27층) 삼정회계법인,1,,,,,,,,,,,,
364795,(주)레드로버,콘텐츠,2019,1,1,0,적정,안양빌딩) 2층 정명회계법인,1,1.0,GC 재기재,1.0,비적정의견,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
364795,(주)레드로버,콘텐츠,2020,1,1,0,적정,2020년 12월 31일 까지 삼덕회계법인,1,1.0,비적정의견,1.0,"비적정의견, GC 재기재",1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
